n	p	alpha	c_palpha
90	0.9	0.025	0.19539528
90	0.95	0.025	0.204087541
90	0.99	0.025	0.231486249
100	0.01	0.025	0.940725119
100	0.05	0.025	0.650631691
100	0.1	0.025	0.526558165
100	0.2	0.025	0.403233818
100	0.3	0.025	0.332028864
100	0.4	0.025	0.282593319
100	0.5	0.025	0.245804804
100	0.6	0.025	0.218179519
100	0.7	0.025	0.198427392
100	0.8	0.025	0.186690489
100	0.9	0.025	0.186243924
100	0.95	0.025	0.194722669
100	0.99	0.025	0.221215395
6	0.01	0.05	6.809027174
6	0.05	0.05	4.530980624
6	0.1	0.05	3.547847495
6	0.2	0.05	2.558223823
6	0.3	0.05	1.977635252
6	0.4	0.05	1.567168136
6	0.5	0.05	1.252498834
6	0.6	0.05	1.004453297
6	0.7	0.05	0.807289643
6	0.8	0.05	0.654076398
6	0.9	0.05	0.546743279
6	0.95	0.05	0.518225267
6	0.99	0.05	0.535983632
8	0.01	0.05	4.939004105
8	0.05	0.05	3.31201292
8	0.1	0.05	2.611258277
8	0.2	0.05	1.906721075
8	0.3	0.05	1.492844445
8	0.4	0.05	1.200859842
8	0.5	0.05	0.976743745
8	0.6	0.05	0.800529535
8	0.7	0.05	0.659828062
8	0.8	0.05	0.552226089
8	0.9	0.05	0.480129466
8	0.95	0.05	0.465296363
8	0.99	0.05	0.490902511
10	0.01	0.05	3.968704938
10	0.05	0.05	2.674524946
10	0.1	0.05	2.11749674
10	0.2	0.05	1.558783365
10	0.3	0.05	1.230330841
10	0.4	0.05	0.998161943
10	0.5	0.05	0.82148882
10	0.6	0.05	0.682317417
10	0.7	0.05	0.572264872
10	0.8	0.05	0.488438705
10	0.9	0.05	0.434858535
10	0.95	0.05	0.427231611
10	0.99	0.05	0.456718363
12	0.01	0.05	3.373517958
12	0.05	0.05	2.282522847
12	0.1	0.05	1.812512305
12	0.2	0.05	1.340986647
12	0.3	0.05	1.063970149
12	0.4	0.05	0.868691153
12	0.5	0.05	0.720414065
12	0.6	0.05	0.60349759
12	0.7	0.05	0.511662976
12	0.8	0.05	0.44270386
12	0.9	0.05	0.401125937
12	0.95	0.05	0.397781177
12	0.99	0.05	0.428960096
15	0.01	0.05	2.790697036
15	0.05	0.05	1.89522369
15	0.1	0.05	1.510202906
15	0.2	0.05	1.124115336
15	0.3	0.05	0.897990806
15	0.4	0.05	0.738483266
15	0.5	0.05	0.617579035
15	0.6	0.05	0.522817061
15	0.7	0.05	0.4485977
15	0.8	0.05	0.394151145
15	0.9	0.05	0.363354993
15	0.95	0.05	0.363876007
15	0.99	0.05	0.396209701
20	0.01	0.05	2.23405562
20	0.05	0.05	1.523211709
20	0.1	0.05	1.218148885
20	0.2	0.05	0.912580313
20	0.3	0.05	0.733557061
20	0.4	0.05	0.608320282
20	0.5	0.05	0.513510983
20	0.6	0.05	0.439343969
20	0.7	0.05	0.382186306
20	0.8	0.05	0.341192757
20	0.9	0.05	0.320763766
20	0.95	0.05	0.324656031
20	0.99	0.05	0.357412937
25	0.01	0.05	1.898964735
25	0.05	0.05	1.298696711
25	0.1	0.05	1.040634108
25	0.2	0.05	0.78336768
25	0.3	0.05	0.633053472
25	0.4	0.05	0.527340808
25	0.5	0.05	0.447589455
25	0.6	0.05	0.385875236
25	0.7	0.05	0.338667349
25	0.8	0.05	0.305731089
25	0.9	0.05	0.290983471
25	0.95	0.05	0.296536123
25	0.99	0.05	0.328539174
30	0.01	0.05	1.672282901
30	0.05	0.05	1.145814777
30	0.1	0.05	0.919883516
30	0.2	0.05	0.694406838
30	0.3	0.05	0.562729407
30	0.4	0.05	0.470727399
30	0.5	0.05	0.401494453
30	0.6	0.05	0.348135298
30	0.7	0.05	0.307438087
30	0.8	0.05	0.279782419
30	0.9	0.05	0.268662975
30	0.95	0.05	0.275117776
30	0.99	0.05	0.306378516
35	0.01	0.05	1.504102624
35	0.05	0.05	1.032332831
35	0.1	0.05	0.830051757
35	0.2	0.05	0.62769883
35	0.3	0.05	0.510163154
35	0.4	0.05	0.428028725
35	0.5	0.05	0.366394261
35	0.6	0.05	0.31907135
35	0.7	0.05	0.283308954
35	0.8	0.05	0.259621104
35	0.9	0.05	0.250985049
35	0.95	0.05	0.258266591
35	0.99	0.05	0.288483974
40	0.01	0.05	1.377872075
40	0.05	0.05	0.946492971
40	0.1	0.05	0.761774634
40	0.2	0.05	0.577563714
40	0.3	0.05	0.470601341
40	0.4	0.05	0.395645268
40	0.5	0.05	0.339401069
40	0.6	0.05	0.296364016
40	0.7	0.05	0.264355169
40	0.8	0.05	0.243258419
40	0.9	0.05	0.23656963
40	0.95	0.05	0.244115037
40	0.99	0.05	0.273824575
45	0.01	0.05	1.277305976
45	0.05	0.05	0.878783707
45	0.1	0.05	0.708087293
45	0.2	0.05	0.537367716
45	0.3	0.05	0.438175482
45	0.4	0.05	0.369169259
45	0.5	0.05	0.317331714
45	0.6	0.05	0.277917801
45	0.7	0.05	0.248633202
45	0.8	0.05	0.229721626
45	0.9	0.05	0.224364191
45	0.95	0.05	0.232120909
45	0.99	0.05	0.261048726
50	0.01	0.05	1.193457878
50	0.05	0.05	0.82158419
50	0.1	0.05	0.662447961
50	0.2	0.05	0.503637205
50	0.3	0.05	0.411536938
50	0.4	0.05	0.347125976
50	0.5	0.05	0.29905571
50	0.6	0.05	0.262612179
50	0.7	0.05	0.235609647
50	0.8	0.05	0.218366987
50	0.9	0.05	0.214146774
50	0.95	0.05	0.222060548
50	0.99	0.05	0.250045345
60	0.01	0.05	1.064868234
60	0.05	0.05	0.734202236
60	0.1	0.05	0.592539841
60	0.2	0.05	0.451477016
60	0.3	0.05	0.369669499
60	0.4	0.05	0.312796293
60	0.5	0.05	0.270381299
60	0.6	0.05	0.238132215
60	0.7	0.05	0.2145029
60	0.8	0.05	0.199834
60	0.9	0.05	0.197123092
60	0.95	0.05	0.205066831
60	0.99	0.05	0.231880214
70	0.01	0.05	0.968254295
70	0.05	0.05	0.668137614
70	0.1	0.05	0.539947502
70	0.2	0.05	0.412153714
70	0.3	0.05	0.338093188
70	0.4	0.05	0.286742367
70	0.5	0.05	0.248458356
70	0.6	0.05	0.219430607
70	0.7	0.05	0.198449979
70	0.8	0.05	0.185683298
70	0.9	0.05	0.184073461
70	0.95	0.05	0.192033954
70	0.99	0.05	0.217585271
80	0.01	0.05	0.893066181
80	0.05	0.05	0.616999614
80	0.1	0.05	0.498973231
80	0.2	0.05	0.381373441
80	0.3	0.05	0.313201465
80	0.4	0.05	0.265998093
80	0.5	0.05	0.230997383
80	0.6	0.05	0.20458522
80	0.7	0.05	0.18557411
80	0.8	0.05	0.174066027
80	0.9	0.05	0.173130389
80	0.95	0.05	0.180962409
80	0.99	0.05	0.205484004
90	0.01	0.05	0.832608234
90	0.05	0.05	0.575554364
90	0.1	0.05	0.465657633
90	0.2	0.05	0.35648459
90	0.3	0.05	0.293056781
90	0.4	0.05	0.249305654
90	0.5	0.05	0.216773151
90	0.6	0.05	0.192394427
90	0.7	0.05	0.174840143
90	0.8	0.05	0.164504049
